,name,scale,min,max,qmin,qmax,observer
0,layers.0.blocks.0.attn.softmax,0.18210217356681824,-12.507881164550781,23.21802520751953,-128,127,EMAMinMaxObserver
1,layers.0.blocks.1.attn.softmax,0.8936765193939209,-113.9437484741211,45.40488815307617,-128,127,EMAMinMaxObserver
2,layers.1.blocks.0.attn.softmax,0.22328880429267883,-8.205330848693848,28.46932029724121,-128,127,EMAMinMaxObserver
3,layers.1.blocks.1.attn.softmax,0.8693302869796753,-110.83960723876953,39.29140090942383,-128,127,EMAMinMaxObserver
4,layers.2.blocks.0.attn.softmax,0.26264068484306335,-7.828197479248047,33.48668670654297,-128,127,EMAMinMaxObserver
5,layers.2.blocks.1.attn.softmax,0.8474867939949036,-108.05455780029297,28.726318359375,-128,127,EMAMinMaxObserver
6,layers.2.blocks.2.attn.softmax,0.265636146068573,-7.410082817077637,33.86860656738281,-128,127,EMAMinMaxObserver
7,layers.2.blocks.3.attn.softmax,0.8490276336669922,-108.25101470947266,30.319499969482422,-128,127,EMAMinMaxObserver
8,layers.2.blocks.4.attn.softmax,0.2338164746761322,-7.385970115661621,29.81159782409668,-128,127,EMAMinMaxObserver
9,layers.2.blocks.5.attn.softmax,0.8464592099189758,-107.92354583740234,33.62371063232422,-128,127,EMAMinMaxObserver
10,layers.2.blocks.6.attn.softmax,0.2753322422504425,-6.879560947418213,35.1048583984375,-128,127,EMAMinMaxObserver
11,layers.2.blocks.7.attn.softmax,0.8614513874053955,-109.83504486083984,36.083702087402344,-128,127,EMAMinMaxObserver
12,layers.2.blocks.8.attn.softmax,0.25393423438072205,-10.571046829223633,32.37661361694336,-128,127,EMAMinMaxObserver
13,layers.2.blocks.9.attn.softmax,0.8654360771179199,-110.34309387207031,35.018760681152344,-128,127,EMAMinMaxObserver
14,layers.2.blocks.10.attn.softmax,0.2686043679714203,-10.614847183227539,34.24705505371094,-128,127,EMAMinMaxObserver
15,layers.2.blocks.11.attn.softmax,0.8796770572662354,-112.15882110595703,36.319244384765625,-128,127,EMAMinMaxObserver
16,layers.2.blocks.12.attn.softmax,0.26943472027778625,-12.680423736572266,34.35292434692383,-128,127,EMAMinMaxObserver
17,layers.2.blocks.13.attn.softmax,0.8883936405181885,-113.27017974853516,36.31414031982422,-128,127,EMAMinMaxObserver
18,layers.2.blocks.14.attn.softmax,0.2680986821651459,-15.350038528442383,34.182579040527344,-128,127,EMAMinMaxObserver
19,layers.2.blocks.15.attn.softmax,0.9036808609962463,-115.21929931640625,37.808753967285156,-128,127,EMAMinMaxObserver
20,layers.2.blocks.16.attn.softmax,0.2806081175804138,-19.143798828125,35.77753448486328,-128,127,EMAMinMaxObserver
21,layers.2.blocks.17.attn.softmax,0.9273427128791809,-118.23619079589844,39.99496078491211,-128,127,EMAMinMaxObserver
22,layers.3.blocks.0.attn.softmax,0.2600550353527069,-14.802353858947754,33.15701675415039,-128,127,EMAMinMaxObserver
23,layers.3.blocks.1.attn.softmax,0.25349563360214233,-15.222798347473145,32.3206901550293,-128,127,EMAMinMaxObserver
