,name,scale,min,max,qmin,qmax,observer
0,blocks.0.attn.softmax,0.17182841897010803,-19.260910034179688,21.908123016357422,-128,127,EMAMinMaxObserver
1,blocks.1.attn.softmax,0.16179367899894714,-14.856956481933594,20.628692626953125,-128,127,EMAMinMaxObserver
2,blocks.2.attn.softmax,0.114820197224617,-14.17422866821289,14.63957405090332,-128,127,EMAMinMaxObserver
3,blocks.3.attn.softmax,0.34369775652885437,-43.82146072387695,33.9758186340332,-128,127,EMAMinMaxObserver
4,blocks.4.attn.softmax,0.1778017282485962,-22.669719696044922,21.178539276123047,-128,127,EMAMinMaxObserver
5,blocks.5.attn.softmax,0.10569684207439423,-11.184480667114258,13.476346969604492,-128,127,EMAMinMaxObserver
6,blocks.6.attn.softmax,0.10548389703035355,-11.533164978027344,13.449195861816406,-128,127,EMAMinMaxObserver
7,blocks.7.attn.softmax,0.09530628472566605,-12.15155029296875,10.989810943603516,-128,127,EMAMinMaxObserver
8,blocks.8.attn.softmax,0.10595110803842545,-13.50876522064209,11.18362808227539,-128,127,EMAMinMaxObserver
9,blocks.9.attn.softmax,0.10377386212348938,-11.608717918395996,13.23116683959961,-128,127,EMAMinMaxObserver
10,blocks.10.attn.softmax,0.22997026145458221,-29.32120704650879,27.806468963623047,-128,127,EMAMinMaxObserver
11,blocks.11.attn.softmax,0.10423196107149124,-13.28957462310791,6.796050548553467,-128,127,EMAMinMaxObserver
