,name,scale,min,max,qmin,qmax,observer
0,blocks.0.attn.softmax,0.950417160987854,-121.17818450927734,109.68153381347656,-128,127,EMAMinMaxObserver
1,blocks.1.attn.softmax,0.44738689064979553,-30.359487533569336,57.04182434082031,-128,127,EMAMinMaxObserver
2,blocks.2.attn.softmax,1.500212550163269,-150.19577026367188,191.27708435058594,-128,127,EMAMinMaxObserver
3,blocks.3.attn.softmax,0.1553802341222763,-19.810977935791016,19.32421112060547,-128,127,EMAMinMaxObserver
4,blocks.4.attn.softmax,0.1352684050798416,-17.246721267700195,16.68195343017578,-128,127,EMAMinMaxObserver
5,blocks.5.attn.softmax,0.11034075915813446,-12.232864379882812,14.068446159362793,-128,127,EMAMinMaxObserver
6,blocks.6.attn.softmax,0.1160978153347969,-14.32829761505127,14.802470207214355,-128,127,EMAMinMaxObserver
7,blocks.7.attn.softmax,0.11921104043722153,-13.037864685058594,15.199406623840332,-128,127,EMAMinMaxObserver
8,blocks.8.attn.softmax,0.11704013496637344,-14.922616004943848,14.293888092041016,-128,127,EMAMinMaxObserver
9,blocks.9.attn.softmax,0.11600077152252197,-14.058549880981445,14.7900972366333,-128,127,EMAMinMaxObserver
10,blocks.10.attn.softmax,0.11710332334041595,-14.930672645568848,14.65353012084961,-128,127,EMAMinMaxObserver
11,blocks.11.attn.softmax,0.16327226161956787,-20.81721305847168,18.883377075195312,-128,127,EMAMinMaxObserver
